Round,Avg Accuracy,Std Accuracy
0,0.1110,0.0000
1,0.4858,0.0000
2,0.5539,0.0000
3,0.5704,0.0000
4,0.5870,0.0000
5,0.5961,0.0000
6,0.6016,0.0000
7,0.6092,0.0000
8,0.6079,0.0000
9,0.6100,0.0000
10,0.6150,0.0000
11,0.6205,0.0000
12,0.6173,0.0000
13,0.6248,0.0000
14,0.6267,0.0000
15,0.6271,0.0000
16,0.6310,0.0000
17,0.6295,0.0000
18,0.6295,0.0000
19,0.6271,0.0000
20,0.6248,0.0000
21,0.6278,0.0000
22,0.6315,0.0000
23,0.6293,0.0000
24,0.6337,0.0000
25,0.6310,0.0000
26,0.6302,0.0000
27,0.6285,0.0000
28,0.6249,0.0000
29,0.6258,0.0000
30,0.6284,0.0000
31,0.6320,0.0000
32,0.6294,0.0000
33,0.6284,0.0000
34,0.6277,0.0000
35,0.6288,0.0000
36,0.6287,0.0000
37,0.6303,0.0000
38,0.6307,0.0000
39,0.6282,0.0000
40,0.6241,0.0000
41,0.6267,0.0000
42,0.6278,0.0000
43,0.6288,0.0000
44,0.6281,0.0000
45,0.6225,0.0000
46,0.6302,0.0000
47,0.6306,0.0000
48,0.6240,0.0000
49,0.6254,0.0000
50,0.6227,0.0000
