Round,Avg Accuracy,Std Accuracy
0,0.0994,0.0009
1,0.2727,0.0241
2,0.3272,0.0280
3,0.3555,0.0125
4,0.3618,0.0093
5,0.3705,0.0032
6,0.3697,0.0053
7,0.3700,0.0065
8,0.3747,0.0020
9,0.3711,0.0034
10,0.3685,0.0029
11,0.3697,0.0015
12,0.3705,0.0037
13,0.3699,0.0014
14,0.3665,0.0024
15,0.3692,0.0027
16,0.3711,0.0035
17,0.3679,0.0019
18,0.3667,0.0033
19,0.3647,0.0015
20,0.3654,0.0041
21,0.3630,0.0035
22,0.3617,0.0027
23,0.3646,0.0054
24,0.3621,0.0022
25,0.3634,0.0031
26,0.3594,0.0014
27,0.3584,0.0038
28,0.3560,0.0046
29,0.3560,0.0030
30,0.3560,0.0023
31,0.3628,0.0061
32,0.3574,0.0023
33,0.3540,0.0056
34,0.3529,0.0063
35,0.3559,0.0058
36,0.3525,0.0014
37,0.3511,0.0062
38,0.3527,0.0086
39,0.3536,0.0073
40,0.3535,0.0091
41,0.3525,0.0106
42,0.3539,0.0065
43,0.3548,0.0112
44,0.3483,0.0057
45,0.3512,0.0068
46,0.3446,0.0077
47,0.3431,0.0092
48,0.3472,0.0149
49,0.3451,0.0108
50,0.3451,0.0101
