Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.1000,0.0000
2,0.1134,0.0000
3,0.1256,0.0000
4,0.1794,0.0000
5,0.2025,0.0000
6,0.1918,0.0000
7,0.1871,0.0000
8,0.1886,0.0000
9,0.1918,0.0000
10,0.1944,0.0000
11,0.1994,0.0000
12,0.2059,0.0000
13,0.2145,0.0000
14,0.2259,0.0000
15,0.2348,0.0000
16,0.2416,0.0000
17,0.2470,0.0000
18,0.2511,0.0000
19,0.2542,0.0000
20,0.2547,0.0000
21,0.2538,0.0000
22,0.2528,0.0000
23,0.2514,0.0000
24,0.2508,0.0000
25,0.2496,0.0000
26,0.2476,0.0000
27,0.2458,0.0000
28,0.2453,0.0000
29,0.2442,0.0000
30,0.2444,0.0000
31,0.2455,0.0000
32,0.2470,0.0000
33,0.2491,0.0000
34,0.2503,0.0000
35,0.2514,0.0000
36,0.2509,0.0000
37,0.2505,0.0000
38,0.2505,0.0000
39,0.2512,0.0000
40,0.2518,0.0000
41,0.2533,0.0000
42,0.2548,0.0000
43,0.2563,0.0000
44,0.2585,0.0000
45,0.2604,0.0000
46,0.2624,0.0000
47,0.2638,0.0000
48,0.2643,0.0000
49,0.2646,0.0000
50,0.2651,0.0000
