Round,Avg Accuracy,Std Accuracy
0,0.0416,0.0430
1,0.3189,0.1301
2,0.4688,0.0127
3,0.4689,0.0256
4,0.4723,0.0251
5,0.4850,0.0126
6,0.4925,0.0031
7,0.5005,0.0073
8,0.5047,0.0116
9,0.5069,0.0130
10,0.5059,0.0129
11,0.5029,0.0136
12,0.5002,0.0114
13,0.5037,0.0147
14,0.5082,0.0156
15,0.5135,0.0158
16,0.5125,0.0168
17,0.5133,0.0171
18,0.5131,0.0184
19,0.5163,0.0184
20,0.5177,0.0175
21,0.5189,0.0164
22,0.5203,0.0175
23,0.5218,0.0180
24,0.5207,0.0180
25,0.5198,0.0161
26,0.5178,0.0189
27,0.5167,0.0219
28,0.5159,0.0228
29,0.5152,0.0261
30,0.5164,0.0256
31,0.5174,0.0257
32,0.5187,0.0240
33,0.5209,0.0215
34,0.5231,0.0201
35,0.5241,0.0170
36,0.5230,0.0150
37,0.5239,0.0154
38,0.5241,0.0138
39,0.5238,0.0142
40,0.5252,0.0156
41,0.5261,0.0160
42,0.5277,0.0168
43,0.5288,0.0161
44,0.5289,0.0142
45,0.5277,0.0143
46,0.5282,0.0151
47,0.5248,0.0096
48,0.5246,0.0085
49,0.5240,0.0070
50,0.5236,0.0052
