Round,Avg Accuracy,Std Accuracy
0,0.0308,0.0000
1,0.4828,0.0000
2,0.0333,0.0000
3,0.4822,0.0000
4,0.4822,0.0000
5,0.4822,0.0000
6,0.4822,0.0000
7,0.4822,0.0000
8,0.4822,0.0000
9,0.4822,0.0000
10,0.4822,0.0000
11,0.4873,0.0000
12,0.4888,0.0000
13,0.4884,0.0000
14,0.4867,0.0000
15,0.4817,0.0000
16,0.4783,0.0000
17,0.4865,0.0000
18,0.4987,0.0000
19,0.5131,0.0000
20,0.5103,0.0000
21,0.5138,0.0000
22,0.5200,0.0000
23,0.5329,0.0000
24,0.5353,0.0000
25,0.5271,0.0000
26,0.5105,0.0000
27,0.5002,0.0000
28,0.4867,0.0000
29,0.4871,0.0000
30,0.4942,0.0000
31,0.4935,0.0000
32,0.4905,0.0000
33,0.4903,0.0000
34,0.4890,0.0000
35,0.4892,0.0000
36,0.4841,0.0000
37,0.4832,0.0000
38,0.4892,0.0000
39,0.4925,0.0000
40,0.4966,0.0000
41,0.4985,0.0000
42,0.5028,0.0000
43,0.5118,0.0000
44,0.5232,0.0000
45,0.5239,0.0000
46,0.5323,0.0000
47,0.5368,0.0000
48,0.5460,0.0000
49,0.5456,0.0000
50,0.5391,0.0000
