Round,Avg Accuracy,Std Accuracy
0,0.1834,0.0000
1,0.4961,0.0000
2,0.5181,0.0000
3,0.5305,0.0000
4,0.5368,0.0000
5,0.5413,0.0000
6,0.5475,0.0000
7,0.5409,0.0000
8,0.5460,0.0000
9,0.5480,0.0000
10,0.5383,0.0000
11,0.5400,0.0000
12,0.5482,0.0000
13,0.5428,0.0000
14,0.5501,0.0000
15,0.5452,0.0000
16,0.5482,0.0000
17,0.5473,0.0000
18,0.5518,0.0000
19,0.5475,0.0000
20,0.5465,0.0000
21,0.5538,0.0000
22,0.5512,0.0000
23,0.5535,0.0000
24,0.5538,0.0000
25,0.5551,0.0000
26,0.5566,0.0000
27,0.5452,0.0000
28,0.5512,0.0000
29,0.5544,0.0000
30,0.5578,0.0000
31,0.5533,0.0000
32,0.5546,0.0000
33,0.5596,0.0000
34,0.5561,0.0000
35,0.5553,0.0000
36,0.5585,0.0000
37,0.5598,0.0000
38,0.5622,0.0000
39,0.5572,0.0000
40,0.5611,0.0000
41,0.5581,0.0000
42,0.5585,0.0000
43,0.5626,0.0000
44,0.5591,0.0000
45,0.5568,0.0000
46,0.5634,0.0000
47,0.5602,0.0000
48,0.5645,0.0000
49,0.5626,0.0000
50,0.5677,0.0000
