Round,Avg Accuracy,Std Accuracy
0,0.0179,0.0091
1,0.4822,0.0000
2,0.4914,0.0009
3,0.4979,0.0007
4,0.5059,0.0039
5,0.5147,0.0052
6,0.5196,0.0035
7,0.5218,0.0043
8,0.5274,0.0043
9,0.5298,0.0061
10,0.5317,0.0047
11,0.5353,0.0035
12,0.5359,0.0035
13,0.5378,0.0048
14,0.5405,0.0039
15,0.5449,0.0049
16,0.5442,0.0018
17,0.5445,0.0031
18,0.5454,0.0038
19,0.5457,0.0033
20,0.5462,0.0041
21,0.5441,0.0058
22,0.5462,0.0017
23,0.5478,0.0046
24,0.5474,0.0029
25,0.5447,0.0025
26,0.5432,0.0060
27,0.5495,0.0040
28,0.5477,0.0036
29,0.5475,0.0029
30,0.5485,0.0047
31,0.5480,0.0028
32,0.5473,0.0025
33,0.5438,0.0019
34,0.5473,0.0047
35,0.5467,0.0051
36,0.5480,0.0052
37,0.5460,0.0038
38,0.5483,0.0011
39,0.5461,0.0035
40,0.5493,0.0034
41,0.5493,0.0011
42,0.5479,0.0022
43,0.5504,0.0016
44,0.5467,0.0057
45,0.5481,0.0028
46,0.5483,0.0012
47,0.5489,0.0053
48,0.5492,0.0018
49,0.5484,0.0004
50,0.5511,0.0012
