Round,Avg Accuracy,Std Accuracy
0,0.0067,0.0000
1,0.4886,0.0000
2,0.5065,0.0000
3,0.5075,0.0000
4,0.5099,0.0000
5,0.5123,0.0000
6,0.5073,0.0000
7,0.5095,0.0000
8,0.5120,0.0000
9,0.5108,0.0000
10,0.5071,0.0000
11,0.5099,0.0000
12,0.5090,0.0000
13,0.5105,0.0000
14,0.5105,0.0000
15,0.5133,0.0000
16,0.5097,0.0000
17,0.5073,0.0000
18,0.5095,0.0000
19,0.5077,0.0000
20,0.5086,0.0000
21,0.5097,0.0000
22,0.5142,0.0000
23,0.5118,0.0000
24,0.5146,0.0000
25,0.5138,0.0000
26,0.5097,0.0000
27,0.5129,0.0000
28,0.5148,0.0000
29,0.5086,0.0000
30,0.5123,0.0000
31,0.5129,0.0000
32,0.5069,0.0000
33,0.5120,0.0000
34,0.5092,0.0000
35,0.5082,0.0000
36,0.5103,0.0000
37,0.5092,0.0000
38,0.5127,0.0000
39,0.5088,0.0000
40,0.5086,0.0000
41,0.5105,0.0000
42,0.5112,0.0000
43,0.5105,0.0000
44,0.5151,0.0000
45,0.5080,0.0000
46,0.5097,0.0000
47,0.5174,0.0000
48,0.5103,0.0000
49,0.5127,0.0000
50,0.5120,0.0000
