Round,Avg Accuracy,Std Accuracy
0,0.1307,0.0000
1,0.5286,0.0000
2,0.7033,0.0000
3,0.7395,0.0000
4,0.7732,0.0000
5,0.7946,0.0000
6,0.8072,0.0000
7,0.8138,0.0000
8,0.8192,0.0000
9,0.8264,0.0000
10,0.8275,0.0000
11,0.8287,0.0000
12,0.8305,0.0000
13,0.8318,0.0000
14,0.8323,0.0000
15,0.8329,0.0000
16,0.8340,0.0000
17,0.8353,0.0000
18,0.8355,0.0000
19,0.8357,0.0000
20,0.8366,0.0000
21,0.8394,0.0000
22,0.8402,0.0000
23,0.8421,0.0000
24,0.8432,0.0000
25,0.8431,0.0000
26,0.8414,0.0000
27,0.8417,0.0000
28,0.8430,0.0000
29,0.8423,0.0000
30,0.8423,0.0000
31,0.8426,0.0000
32,0.8433,0.0000
33,0.8444,0.0000
34,0.8445,0.0000
35,0.8453,0.0000
36,0.8445,0.0000
37,0.8454,0.0000
38,0.8454,0.0000
39,0.8452,0.0000
40,0.8441,0.0000
41,0.8439,0.0000
42,0.8443,0.0000
43,0.8452,0.0000
44,0.8437,0.0000
45,0.8444,0.0000
46,0.8440,0.0000
47,0.8444,0.0000
48,0.8440,0.0000
49,0.8447,0.0000
50,0.8459,0.0000
