Round,Avg Accuracy,Std Accuracy
0,0.0930,0.0099
1,0.5897,0.0382
2,0.6377,0.0121
3,0.6906,0.0291
4,0.7093,0.0369
5,0.7321,0.0301
6,0.7561,0.0148
7,0.7790,0.0018
8,0.7838,0.0101
9,0.7825,0.0129
10,0.7659,0.0065
11,0.7494,0.0166
12,0.7597,0.0198
13,0.7761,0.0247
14,0.7827,0.0364
15,0.7917,0.0318
16,0.8014,0.0210
17,0.8073,0.0184
18,0.8121,0.0131
19,0.8129,0.0087
20,0.8131,0.0096
21,0.8100,0.0081
22,0.8110,0.0055
23,0.8121,0.0078
24,0.8095,0.0083
25,0.8103,0.0053
26,0.8186,0.0027
27,0.8245,0.0028
28,0.8219,0.0023
29,0.8151,0.0053
30,0.8080,0.0063
31,0.8091,0.0121
32,0.8130,0.0135
33,0.8177,0.0126
34,0.8185,0.0109
35,0.8209,0.0068
36,0.8242,0.0028
37,0.8226,0.0026
38,0.8225,0.0026
39,0.8239,0.0015
40,0.8230,0.0053
41,0.8185,0.0044
42,0.8159,0.0034
43,0.8197,0.0068
44,0.8254,0.0050
45,0.8241,0.0035
46,0.8173,0.0062
47,0.8159,0.0035
48,0.8245,0.0034
49,0.8302,0.0049
50,0.8264,0.0051
