Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.7150,0.0153
2,0.7697,0.0109
3,0.7921,0.0029
4,0.8049,0.0006
5,0.8149,0.0007
6,0.8199,0.0023
7,0.8261,0.0009
8,0.8274,0.0024
9,0.8302,0.0006
10,0.8311,0.0021
11,0.8343,0.0013
12,0.8353,0.0007
13,0.8350,0.0017
14,0.8357,0.0011
15,0.8367,0.0015
16,0.8354,0.0018
17,0.8375,0.0008
18,0.8357,0.0006
19,0.8371,0.0012
20,0.8376,0.0012
21,0.8372,0.0019
22,0.8384,0.0008
23,0.8401,0.0016
24,0.8392,0.0013
25,0.8397,0.0013
26,0.8396,0.0013
27,0.8410,0.0023
28,0.8416,0.0010
29,0.8408,0.0030
30,0.8415,0.0024
31,0.8404,0.0013
32,0.8397,0.0019
33,0.8415,0.0024
34,0.8429,0.0014
35,0.8409,0.0002
36,0.8417,0.0016
37,0.8435,0.0018
38,0.8414,0.0029
39,0.8405,0.0004
40,0.8421,0.0008
41,0.8420,0.0009
42,0.8423,0.0009
43,0.8436,0.0032
44,0.8431,0.0014
45,0.8422,0.0028
46,0.8423,0.0017
47,0.8418,0.0027
48,0.8430,0.0016
49,0.8426,0.0011
50,0.8435,0.0013
