Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.7363,0.0000
2,0.6959,0.0000
3,0.8072,0.0000
4,0.8138,0.0000
5,0.8191,0.0000
6,0.8199,0.0000
7,0.8247,0.0000
8,0.8230,0.0000
9,0.8300,0.0000
10,0.8297,0.0000
11,0.8307,0.0000
12,0.8331,0.0000
13,0.8335,0.0000
14,0.8323,0.0000
15,0.8330,0.0000
16,0.8337,0.0000
17,0.8342,0.0000
18,0.8360,0.0000
19,0.8358,0.0000
20,0.8357,0.0000
21,0.8313,0.0000
22,0.8344,0.0000
23,0.8296,0.0000
24,0.8324,0.0000
25,0.8314,0.0000
26,0.8311,0.0000
27,0.8338,0.0000
28,0.8331,0.0000
29,0.8344,0.0000
30,0.8342,0.0000
31,0.8269,0.0000
32,0.8302,0.0000
33,0.8309,0.0000
34,0.8273,0.0000
35,0.8266,0.0000
36,0.8296,0.0000
37,0.8241,0.0000
38,0.8300,0.0000
39,0.8277,0.0000
40,0.8295,0.0000
41,0.8267,0.0000
42,0.8278,0.0000
43,0.8228,0.0000
44,0.8305,0.0000
45,0.8208,0.0000
46,0.8273,0.0000
47,0.8251,0.0000
48,0.8251,0.0000
49,0.8225,0.0000
50,0.8301,0.0000
