Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.7106,0.0000
2,0.7366,0.0000
3,0.7454,0.0000
4,0.7463,0.0000
5,0.7513,0.0000
6,0.7572,0.0000
7,0.7586,0.0000
8,0.7639,0.0000
9,0.7658,0.0000
10,0.7549,0.0000
11,0.7611,0.0000
12,0.7673,0.0000
13,0.7603,0.0000
14,0.7666,0.0000
15,0.7683,0.0000
16,0.7644,0.0000
17,0.7691,0.0000
18,0.7541,0.0000
19,0.7633,0.0000
20,0.7654,0.0000
21,0.7637,0.0000
22,0.7613,0.0000
23,0.7593,0.0000
24,0.7667,0.0000
25,0.7653,0.0000
26,0.7652,0.0000
27,0.7658,0.0000
28,0.7649,0.0000
29,0.7776,0.0000
30,0.7648,0.0000
31,0.7730,0.0000
32,0.7624,0.0000
33,0.7696,0.0000
34,0.7689,0.0000
35,0.7613,0.0000
36,0.7599,0.0000
37,0.7753,0.0000
38,0.7623,0.0000
39,0.7698,0.0000
40,0.7760,0.0000
41,0.7719,0.0000
42,0.7670,0.0000
43,0.7690,0.0000
44,0.7705,0.0000
45,0.7742,0.0000
46,0.7709,0.0000
47,0.7707,0.0000
48,0.7666,0.0000
49,0.7643,0.0000
50,0.7639,0.0000
