Round,Avg Accuracy,Std Accuracy
0,0.0923,0.0143
1,0.9765,0.0005
2,0.9852,0.0011
3,0.9878,0.0003
4,0.9891,0.0005
5,0.9900,0.0007
6,0.9903,0.0004
7,0.9907,0.0001
8,0.9909,0.0001
9,0.9911,0.0003
10,0.9915,0.0002
11,0.9916,0.0001
12,0.9919,0.0003
13,0.9919,0.0003
14,0.9920,0.0005
15,0.9921,0.0007
16,0.9921,0.0006
17,0.9921,0.0005
18,0.9920,0.0006
19,0.9925,0.0003
20,0.9924,0.0006
21,0.9924,0.0005
22,0.9922,0.0007
23,0.9927,0.0005
24,0.9924,0.0007
25,0.9925,0.0006
26,0.9923,0.0010
27,0.9927,0.0007
28,0.9925,0.0006
29,0.9926,0.0006
30,0.9927,0.0003
31,0.9925,0.0006
32,0.9926,0.0005
33,0.9925,0.0004
34,0.9925,0.0008
35,0.9925,0.0006
36,0.9928,0.0008
37,0.9929,0.0008
38,0.9928,0.0006
39,0.9922,0.0008
40,0.9926,0.0007
41,0.9926,0.0006
42,0.9928,0.0004
43,0.9924,0.0007
44,0.9925,0.0007
45,0.9931,0.0005
46,0.9926,0.0009
47,0.9926,0.0008
48,0.9928,0.0006
49,0.9928,0.0007
50,0.9928,0.0007
