Round,Avg Accuracy,Std Accuracy
0,0.1594,0.0000
1,0.3917,0.0000
2,0.6754,0.0000
3,0.6602,0.0000
4,0.6718,0.0000
5,0.6736,0.0000
6,0.6602,0.0000
7,0.6458,0.0000
8,0.6685,0.0000
9,0.6518,0.0000
10,0.6404,0.0000
11,0.6472,0.0000
12,0.6633,0.0000
13,0.6659,0.0000
14,0.6510,0.0000
15,0.6283,0.0000
16,0.6585,0.0000
17,0.6398,0.0000
18,0.6278,0.0000
19,0.6341,0.0000
20,0.6310,0.0000
21,0.6331,0.0000
22,0.6278,0.0000
23,0.6331,0.0000
24,0.6293,0.0000
25,0.6260,0.0000
26,0.6335,0.0000
27,0.6228,0.0000
28,0.6412,0.0000
29,0.6009,0.0000
30,0.6101,0.0000
31,0.6116,0.0000
32,0.6356,0.0000
33,0.6283,0.0000
34,0.6163,0.0000
35,0.6093,0.0000
36,0.6422,0.0000
37,0.6094,0.0000
38,0.5885,0.0000
39,0.6196,0.0000
40,0.6164,0.0000
41,0.6023,0.0000
42,0.6102,0.0000
43,0.6024,0.0000
44,0.6134,0.0000
45,0.6079,0.0000
46,0.6058,0.0000
47,0.6153,0.0000
48,0.6083,0.0000
49,0.5847,0.0000
50,0.6100,0.0000
