Round,Avg Accuracy,Std Accuracy
0,0.0759,0.0000
1,0.1959,0.0000
2,0.5617,0.0000
3,0.6736,0.0000
4,0.6743,0.0000
5,0.6729,0.0000
6,0.6703,0.0000
7,0.6736,0.0000
8,0.6769,0.0000
9,0.6745,0.0000
10,0.6715,0.0000
11,0.6917,0.0000
12,0.6852,0.0000
13,0.6779,0.0000
14,0.6345,0.0000
15,0.6731,0.0000
16,0.6619,0.0000
17,0.6736,0.0000
18,0.6724,0.0000
19,0.6632,0.0000
20,0.6739,0.0000
21,0.6418,0.0000
22,0.6655,0.0000
23,0.6335,0.0000
24,0.6578,0.0000
25,0.6605,0.0000
26,0.6469,0.0000
27,0.6600,0.0000
28,0.6696,0.0000
29,0.6326,0.0000
30,0.6469,0.0000
31,0.6542,0.0000
32,0.6583,0.0000
33,0.6232,0.0000
34,0.6511,0.0000
35,0.6268,0.0000
36,0.6459,0.0000
37,0.6357,0.0000
38,0.6700,0.0000
39,0.6411,0.0000
40,0.6349,0.0000
41,0.6457,0.0000
42,0.6311,0.0000
43,0.6311,0.0000
44,0.6441,0.0000
45,0.6308,0.0000
46,0.6329,0.0000
47,0.6403,0.0000
48,0.6186,0.0000
49,0.6457,0.0000
50,0.6231,0.0000
