Round,Avg Accuracy,Std Accuracy
0,0.5883,0.2498
1,0.7947,0.0356
2,0.8041,0.0442
3,0.8316,0.0134
4,0.8547,0.0013
5,0.8451,0.0082
6,0.8397,0.0047
7,0.8501,0.0020
8,0.8479,0.0034
9,0.8463,0.0040
10,0.8456,0.0098
11,0.8482,0.0092
12,0.8513,0.0025
13,0.8465,0.0009
14,0.8467,0.0013
15,0.8482,0.0030
16,0.8465,0.0077
17,0.8438,0.0107
18,0.8419,0.0110
19,0.8429,0.0106
20,0.8444,0.0062
21,0.8420,0.0010
22,0.8412,0.0013
23,0.8435,0.0017
24,0.8444,0.0021
25,0.8449,0.0031
26,0.8419,0.0048
27,0.8389,0.0054
28,0.8397,0.0046
29,0.8392,0.0038
30,0.8419,0.0035
31,0.8408,0.0031
32,0.8407,0.0022
33,0.8372,0.0018
34,0.8384,0.0039
35,0.8391,0.0048
36,0.8384,0.0046
37,0.8367,0.0031
38,0.8376,0.0014
39,0.8377,0.0028
40,0.8372,0.0046
41,0.8370,0.0058
42,0.8378,0.0047
43,0.8369,0.0033
44,0.8389,0.0028
45,0.8396,0.0025
46,0.8387,0.0024
47,0.8370,0.0066
48,0.8360,0.0051
49,0.8389,0.0048
50,0.8423,0.0051
