Round,Avg Accuracy,Std Accuracy
0,0.5609,0.2333
1,0.8340,0.0153
2,0.8560,0.0011
3,0.8565,0.0007
4,0.8558,0.0010
5,0.8558,0.0011
6,0.8556,0.0004
7,0.8551,0.0007
8,0.8553,0.0003
9,0.8562,0.0009
10,0.8550,0.0005
11,0.8559,0.0004
12,0.8558,0.0008
13,0.8568,0.0006
14,0.8564,0.0009
15,0.8565,0.0001
16,0.8561,0.0008
17,0.8565,0.0014
18,0.8563,0.0004
19,0.8557,0.0008
20,0.8556,0.0007
21,0.8562,0.0007
22,0.8558,0.0012
23,0.8561,0.0008
24,0.8567,0.0009
25,0.8553,0.0007
26,0.8561,0.0004
27,0.8572,0.0008
28,0.8562,0.0010
29,0.8564,0.0001
30,0.8569,0.0004
31,0.8552,0.0008
32,0.8568,0.0005
33,0.8566,0.0006
34,0.8561,0.0012
35,0.8559,0.0001
36,0.8566,0.0011
37,0.8565,0.0007
38,0.8560,0.0005
39,0.8563,0.0008
40,0.8553,0.0019
41,0.8568,0.0009
42,0.8569,0.0004
43,0.8558,0.0001
44,0.8558,0.0003
45,0.8561,0.0008
46,0.8561,0.0000
47,0.8558,0.0007
48,0.8566,0.0003
49,0.8564,0.0006
50,0.8559,0.0012
