Round,Avg Accuracy,Std Accuracy
0,0.1097,0.0000
1,0.2881,0.0000
2,0.4499,0.0000
3,0.5019,0.0000
4,0.5330,0.0000
5,0.5603,0.0000
6,0.5738,0.0000
7,0.5826,0.0000
8,0.5892,0.0000
9,0.5907,0.0000
10,0.5921,0.0000
11,0.5937,0.0000
12,0.6006,0.0000
13,0.6040,0.0000
14,0.6047,0.0000
15,0.6086,0.0000
16,0.6094,0.0000
17,0.6118,0.0000
18,0.6150,0.0000
19,0.6131,0.0000
20,0.6152,0.0000
21,0.6190,0.0000
22,0.6215,0.0000
23,0.6301,0.0000
24,0.6311,0.0000
25,0.6325,0.0000
26,0.6367,0.0000
27,0.6380,0.0000
28,0.6400,0.0000
29,0.6407,0.0000
30,0.6474,0.0000
31,0.6483,0.0000
32,0.6518,0.0000
33,0.6549,0.0000
34,0.6561,0.0000
35,0.6607,0.0000
36,0.6634,0.0000
37,0.6667,0.0000
38,0.6680,0.0000
39,0.6727,0.0000
40,0.6790,0.0000
41,0.6781,0.0000
42,0.6810,0.0000
43,0.6824,0.0000
44,0.6837,0.0000
45,0.6864,0.0000
46,0.6867,0.0000
47,0.6874,0.0000
48,0.6915,0.0000
49,0.6894,0.0000
50,0.6951,0.0000
