Round,Avg Accuracy,Std Accuracy
0,0.1042,0.0000
1,0.5351,0.0000
2,0.6304,0.0000
3,0.6533,0.0000
4,0.6710,0.0000
5,0.6769,0.0000
6,0.6822,0.0000
7,0.6871,0.0000
8,0.6918,0.0000
9,0.6973,0.0000
10,0.6976,0.0000
11,0.6990,0.0000
12,0.7037,0.0000
13,0.7052,0.0000
14,0.7091,0.0000
15,0.7059,0.0000
16,0.7049,0.0000
17,0.7091,0.0000
18,0.7096,0.0000
19,0.7103,0.0000
20,0.7095,0.0000
21,0.7130,0.0000
22,0.7156,0.0000
23,0.7155,0.0000
24,0.7135,0.0000
25,0.7133,0.0000
26,0.7180,0.0000
27,0.7177,0.0000
28,0.7121,0.0000
29,0.7163,0.0000
30,0.7124,0.0000
31,0.7150,0.0000
32,0.7178,0.0000
33,0.7206,0.0000
34,0.7192,0.0000
35,0.7187,0.0000
36,0.7205,0.0000
37,0.7232,0.0000
38,0.7214,0.0000
39,0.7183,0.0000
40,0.7256,0.0000
41,0.7238,0.0000
42,0.7230,0.0000
43,0.7205,0.0000
44,0.7239,0.0000
45,0.7250,0.0000
46,0.7265,0.0000
47,0.7223,0.0000
48,0.7256,0.0000
49,0.7254,0.0000
50,0.7280,0.0000
