Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.3586,0.0028
2,0.4205,0.0065
3,0.4410,0.0050
4,0.4410,0.0013
5,0.4363,0.0014
6,0.4309,0.0010
7,0.4294,0.0006
8,0.4277,0.0009
9,0.4233,0.0021
10,0.4224,0.0010
11,0.4196,0.0011
12,0.4181,0.0008
13,0.4161,0.0004
14,0.4158,0.0014
15,0.4136,0.0009
16,0.4134,0.0026
17,0.4118,0.0027
18,0.4109,0.0027
19,0.4109,0.0019
20,0.4097,0.0043
21,0.4086,0.0035
22,0.4088,0.0034
23,0.4076,0.0028
24,0.4069,0.0016
25,0.4065,0.0029
26,0.4061,0.0038
27,0.4054,0.0033
28,0.4053,0.0033
29,0.4049,0.0036
30,0.4034,0.0032
31,0.4044,0.0028
32,0.4033,0.0035
33,0.4032,0.0028
34,0.4029,0.0037
35,0.4032,0.0041
36,0.4029,0.0041
37,0.4018,0.0038
38,0.4015,0.0022
39,0.4014,0.0038
40,0.4015,0.0030
41,0.4016,0.0037
42,0.4011,0.0036
43,0.4008,0.0032
44,0.4006,0.0036
45,0.4000,0.0031
46,0.3992,0.0029
47,0.3989,0.0027
48,0.3990,0.0032
49,0.3983,0.0031
50,0.3982,0.0026
