Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.1035,0.0000
2,0.1352,0.0000
3,0.1633,0.0000
4,0.1755,0.0000
5,0.1999,0.0000
6,0.2251,0.0000
7,0.2410,0.0000
8,0.2504,0.0000
9,0.2554,0.0000
10,0.2606,0.0000
11,0.2666,0.0000
12,0.2711,0.0000
13,0.2766,0.0000
14,0.2827,0.0000
15,0.2899,0.0000
16,0.2958,0.0000
17,0.3010,0.0000
18,0.3054,0.0000
19,0.3074,0.0000
20,0.3111,0.0000
21,0.3134,0.0000
22,0.3174,0.0000
23,0.3203,0.0000
24,0.3250,0.0000
25,0.3299,0.0000
26,0.3339,0.0000
27,0.3393,0.0000
28,0.3439,0.0000
29,0.3498,0.0000
30,0.3546,0.0000
31,0.3602,0.0000
32,0.3638,0.0000
33,0.3677,0.0000
34,0.3706,0.0000
35,0.3738,0.0000
36,0.3760,0.0000
37,0.3775,0.0000
38,0.3781,0.0000
39,0.3793,0.0000
40,0.3798,0.0000
41,0.3803,0.0000
42,0.3809,0.0000
43,0.3812,0.0000
44,0.3811,0.0000
45,0.3818,0.0000
46,0.3814,0.0000
47,0.3812,0.0000
48,0.3810,0.0000
49,0.3805,0.0000
50,0.3815,0.0000
