Round,Avg Accuracy,Std Accuracy
0,0.1001,0.0000
1,0.3777,0.0000
2,0.4206,0.0000
3,0.4173,0.0000
4,0.4144,0.0000
5,0.4102,0.0000
6,0.4101,0.0000
7,0.4078,0.0000
8,0.4081,0.0000
9,0.4072,0.0000
10,0.4059,0.0000
11,0.4030,0.0000
12,0.4022,0.0000
13,0.4004,0.0000
14,0.3998,0.0000
15,0.3979,0.0000
16,0.3984,0.0000
17,0.3979,0.0000
18,0.3982,0.0000
19,0.3968,0.0000
20,0.3963,0.0000
21,0.3940,0.0000
22,0.3986,0.0000
23,0.3956,0.0000
24,0.3964,0.0000
25,0.3957,0.0000
26,0.3944,0.0000
27,0.3955,0.0000
28,0.3959,0.0000
29,0.3928,0.0000
30,0.3939,0.0000
31,0.3932,0.0000
32,0.3935,0.0000
33,0.3931,0.0000
34,0.3947,0.0000
35,0.3916,0.0000
36,0.3896,0.0000
37,0.3932,0.0000
38,0.3901,0.0000
39,0.3913,0.0000
40,0.3934,0.0000
41,0.3868,0.0000
42,0.3881,0.0000
43,0.3894,0.0000
44,0.3896,0.0000
45,0.3874,0.0000
46,0.3875,0.0000
47,0.3877,0.0000
48,0.3889,0.0000
49,0.3864,0.0000
50,0.3963,0.0000
