Round,Avg Accuracy,Std Accuracy
0,0.0862,0.0557
1,0.2600,0.1115
2,0.2481,0.1710
3,0.2573,0.1590
4,0.4822,0.0000
5,0.4822,0.0000
6,0.4822,0.0000
7,0.4822,0.0000
8,0.4866,0.0063
9,0.4865,0.0061
10,0.4866,0.0063
11,0.4855,0.0046
12,0.4830,0.0011
13,0.4827,0.0007
14,0.4825,0.0003
15,0.4760,0.0186
16,0.4636,0.0381
17,0.4568,0.0441
18,0.5037,0.0204
19,0.5027,0.0181
20,0.5048,0.0280
21,0.5076,0.0268
22,0.5034,0.0254
23,0.5095,0.0305
24,0.5168,0.0283
25,0.4883,0.0565
26,0.4303,0.1380
27,0.5090,0.0410
28,0.5136,0.0417
29,0.5214,0.0320
30,0.5215,0.0305
31,0.5066,0.0314
32,0.5125,0.0304
33,0.5193,0.0295
34,0.5285,0.0328
35,0.5234,0.0308
36,0.5199,0.0289
37,0.5202,0.0302
38,0.5266,0.0314
39,0.5292,0.0337
40,0.5290,0.0332
41,0.5224,0.0285
42,0.5155,0.0239
43,0.5178,0.0256
44,0.5215,0.0279
45,0.5155,0.0236
46,0.5140,0.0227
47,0.5130,0.0221
48,0.5150,0.0249
49,0.5124,0.0216
50,0.5149,0.0232
