Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.6742,0.0000
2,0.7650,0.0000
3,0.8063,0.0000
4,0.8410,0.0000
5,0.8578,0.0000
6,0.8691,0.0000
7,0.8766,0.0000
8,0.8791,0.0000
9,0.8839,0.0000
10,0.8851,0.0000
11,0.8872,0.0000
12,0.8876,0.0000
13,0.8890,0.0000
14,0.8900,0.0000
15,0.8915,0.0000
16,0.8916,0.0000
17,0.8912,0.0000
18,0.8915,0.0000
19,0.8907,0.0000
20,0.8918,0.0000
21,0.8907,0.0000
22,0.8909,0.0000
23,0.8920,0.0000
24,0.8913,0.0000
25,0.8916,0.0000
26,0.8922,0.0000
27,0.8913,0.0000
28,0.8920,0.0000
29,0.8927,0.0000
30,0.8932,0.0000
31,0.8931,0.0000
32,0.8929,0.0000
33,0.8933,0.0000
34,0.8940,0.0000
35,0.8947,0.0000
36,0.8945,0.0000
37,0.8942,0.0000
38,0.8944,0.0000
39,0.8940,0.0000
40,0.8935,0.0000
41,0.8928,0.0000
42,0.8931,0.0000
43,0.8935,0.0000
44,0.8934,0.0000
45,0.8926,0.0000
46,0.8934,0.0000
47,0.8935,0.0000
48,0.8937,0.0000
49,0.8928,0.0000
50,0.8930,0.0000
