Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.7897,0.0150
2,0.8445,0.0031
3,0.8621,0.0029
4,0.8708,0.0043
5,0.8785,0.0036
6,0.8825,0.0036
7,0.8857,0.0034
8,0.8876,0.0040
9,0.8879,0.0032
10,0.8905,0.0032
11,0.8907,0.0025
12,0.8920,0.0013
13,0.8917,0.0020
14,0.8928,0.0019
15,0.8925,0.0002
16,0.8927,0.0014
17,0.8924,0.0010
18,0.8926,0.0008
19,0.8928,0.0003
20,0.8913,0.0005
21,0.8928,0.0005
22,0.8932,0.0008
23,0.8927,0.0002
24,0.8930,0.0008
25,0.8924,0.0002
26,0.8939,0.0004
27,0.8941,0.0004
28,0.8931,0.0006
29,0.8937,0.0011
30,0.8933,0.0006
31,0.8942,0.0010
32,0.8931,0.0002
33,0.8935,0.0007
34,0.8942,0.0003
35,0.8932,0.0009
36,0.8933,0.0014
37,0.8935,0.0013
38,0.8934,0.0008
39,0.8932,0.0007
40,0.8930,0.0009
41,0.8922,0.0011
42,0.8932,0.0008
43,0.8926,0.0004
44,0.8930,0.0015
45,0.8927,0.0014
46,0.8919,0.0007
47,0.8922,0.0011
48,0.8919,0.0012
49,0.8935,0.0015
50,0.8929,0.0008
