Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.1615,0.0000
2,0.3653,0.0000
3,0.5171,0.0000
4,0.5852,0.0000
5,0.6594,0.0000
6,0.7180,0.0000
7,0.7655,0.0000
8,0.8010,0.0000
9,0.8255,0.0000
10,0.8427,0.0000
11,0.8543,0.0000
12,0.8609,0.0000
13,0.8652,0.0000
14,0.8653,0.0000
15,0.8654,0.0000
16,0.8657,0.0000
17,0.8670,0.0000
18,0.8678,0.0000
19,0.8695,0.0000
20,0.8678,0.0000
21,0.8708,0.0000
22,0.8713,0.0000
23,0.8726,0.0000
24,0.8747,0.0000
25,0.8747,0.0000
26,0.8771,0.0000
27,0.8782,0.0000
28,0.8801,0.0000
29,0.8824,0.0000
30,0.8828,0.0000
31,0.8830,0.0000
32,0.8834,0.0000
33,0.8849,0.0000
34,0.8862,0.0000
35,0.8852,0.0000
36,0.8853,0.0000
37,0.8851,0.0000
38,0.8856,0.0000
39,0.8869,0.0000
40,0.8870,0.0000
41,0.8884,0.0000
42,0.8889,0.0000
43,0.8893,0.0000
44,0.8897,0.0000
45,0.8900,0.0000
46,0.8906,0.0000
47,0.8898,0.0000
48,0.8889,0.0000
49,0.8886,0.0000
50,0.8890,0.0000
