Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.7397,0.0099
2,0.7617,0.0116
3,0.8501,0.0058
4,0.8632,0.0033
5,0.8730,0.0023
6,0.8758,0.0030
7,0.8794,0.0026
8,0.8836,0.0007
9,0.8835,0.0005
10,0.8852,0.0025
11,0.8867,0.0019
12,0.8888,0.0008
13,0.8906,0.0011
14,0.8901,0.0001
15,0.8898,0.0013
16,0.8917,0.0012
17,0.8914,0.0003
18,0.8899,0.0009
19,0.8929,0.0004
20,0.8917,0.0008
21,0.8919,0.0017
22,0.8905,0.0012
23,0.8925,0.0015
24,0.8924,0.0017
25,0.8929,0.0019
26,0.8933,0.0018
27,0.8936,0.0020
28,0.8937,0.0012
29,0.8945,0.0013
30,0.8946,0.0016
31,0.8937,0.0014
32,0.8941,0.0015
33,0.8943,0.0007
34,0.8942,0.0018
35,0.8948,0.0016
36,0.8937,0.0022
37,0.8949,0.0012
38,0.8941,0.0013
39,0.8945,0.0003
40,0.8938,0.0015
41,0.8944,0.0013
42,0.8944,0.0012
43,0.8942,0.0020
44,0.8947,0.0012
45,0.8945,0.0006
46,0.8942,0.0009
47,0.8942,0.0011
48,0.8940,0.0014
49,0.8939,0.0013
50,0.8935,0.0016
