Round,Avg Accuracy,Std Accuracy
0,0.1142,0.0187
1,0.9756,0.0004
2,0.9849,0.0004
3,0.9873,0.0006
4,0.9886,0.0011
5,0.9891,0.0010
6,0.9896,0.0010
7,0.9900,0.0010
8,0.9899,0.0010
9,0.9901,0.0013
10,0.9901,0.0009
11,0.9902,0.0010
12,0.9903,0.0010
13,0.9902,0.0011
14,0.9906,0.0009
15,0.9905,0.0009
16,0.9905,0.0007
17,0.9905,0.0009
18,0.9907,0.0009
19,0.9909,0.0010
20,0.9907,0.0010
21,0.9906,0.0009
22,0.9908,0.0008
23,0.9910,0.0008
24,0.9909,0.0010
25,0.9909,0.0010
26,0.9911,0.0007
27,0.9910,0.0006
28,0.9912,0.0009
29,0.9909,0.0008
30,0.9910,0.0007
31,0.9910,0.0008
32,0.9913,0.0008
33,0.9912,0.0005
34,0.9910,0.0007
35,0.9911,0.0006
36,0.9911,0.0010
37,0.9910,0.0009
38,0.9910,0.0007
39,0.9910,0.0008
40,0.9912,0.0005
41,0.9913,0.0006
42,0.9911,0.0007
43,0.9912,0.0007
44,0.9913,0.0007
45,0.9911,0.0007
46,0.9910,0.0006
47,0.9910,0.0007
48,0.9910,0.0008
49,0.9911,0.0008
50,0.9909,0.0007
