Round,Avg Accuracy,Std Accuracy
0,0.0809,0.0219
1,0.9745,0.0022
2,0.9838,0.0008
3,0.9867,0.0010
4,0.9881,0.0005
5,0.9887,0.0004
6,0.9893,0.0006
7,0.9897,0.0006
8,0.9900,0.0006
9,0.9902,0.0004
10,0.9904,0.0001
11,0.9904,0.0001
12,0.9908,0.0001
13,0.9909,0.0002
14,0.9909,0.0002
15,0.9909,0.0004
16,0.9910,0.0002
17,0.9910,0.0002
18,0.9910,0.0002
19,0.9907,0.0000
20,0.9908,0.0002
21,0.9910,0.0002
22,0.9911,0.0003
23,0.9909,0.0005
24,0.9909,0.0002
25,0.9911,0.0003
26,0.9913,0.0004
27,0.9910,0.0003
28,0.9911,0.0003
29,0.9909,0.0001
30,0.9909,0.0003
31,0.9911,0.0003
32,0.9912,0.0005
33,0.9910,0.0005
34,0.9910,0.0002
35,0.9909,0.0002
36,0.9908,0.0002
37,0.9907,0.0003
38,0.9909,0.0003
39,0.9911,0.0003
40,0.9910,0.0003
41,0.9908,0.0002
42,0.9910,0.0002
43,0.9908,0.0002
44,0.9909,0.0002
45,0.9910,0.0002
46,0.9908,0.0002
47,0.9909,0.0002
48,0.9909,0.0002
49,0.9911,0.0002
50,0.9910,0.0001
