Round,Avg Accuracy,Std Accuracy
0,0.0786,0.0162
1,0.9684,0.0023
2,0.9784,0.0010
3,0.9799,0.0019
4,0.9811,0.0008
5,0.9810,0.0008
6,0.9816,0.0011
7,0.9817,0.0009
8,0.9824,0.0007
9,0.9819,0.0005
10,0.9821,0.0008
11,0.9826,0.0006
12,0.9828,0.0007
13,0.9823,0.0004
14,0.9824,0.0013
15,0.9825,0.0008
16,0.9822,0.0012
17,0.9827,0.0006
18,0.9824,0.0004
19,0.9823,0.0003
20,0.9826,0.0003
21,0.9822,0.0003
22,0.9819,0.0006
23,0.9827,0.0003
24,0.9821,0.0003
25,0.9826,0.0007
26,0.9824,0.0006
27,0.9825,0.0004
28,0.9826,0.0004
29,0.9829,0.0004
30,0.9826,0.0006
31,0.9831,0.0003
32,0.9816,0.0005
33,0.9820,0.0002
34,0.9818,0.0003
35,0.9820,0.0002
36,0.9815,0.0014
37,0.9821,0.0002
38,0.9823,0.0007
39,0.9826,0.0002
40,0.9823,0.0004
41,0.9818,0.0011
42,0.9825,0.0006
43,0.9828,0.0006
44,0.9823,0.0006
45,0.9828,0.0008
46,0.9823,0.0004
47,0.9826,0.0005
48,0.9821,0.0003
49,0.9828,0.0008
50,0.9827,0.0009
