Round,Avg Accuracy,Std Accuracy
0,0.1107,0.0000
1,0.3108,0.0000
2,0.5722,0.0000
3,0.6595,0.0000
4,0.6080,0.0000
5,0.6241,0.0000
6,0.4106,0.0000
7,0.2917,0.0000
8,0.2755,0.0000
9,0.3692,0.0000
10,0.4664,0.0000
11,0.6368,0.0000
12,0.7121,0.0000
13,0.7146,0.0000
14,0.7048,0.0000
15,0.7019,0.0000
16,0.7534,0.0000
17,0.7841,0.0000
18,0.7964,0.0000
19,0.8013,0.0000
20,0.8080,0.0000
21,0.8182,0.0000
22,0.6645,0.0000
23,0.3283,0.0000
24,0.2416,0.0000
25,0.2132,0.0000
26,0.2032,0.0000
27,0.2016,0.0000
28,0.2005,0.0000
29,0.2001,0.0000
30,0.1989,0.0000
31,0.1981,0.0000
32,0.1976,0.0000
33,0.1971,0.0000
34,0.1969,0.0000
35,0.1969,0.0000
36,0.1973,0.0000
37,0.1970,0.0000
38,0.1973,0.0000
39,0.1965,0.0000
40,0.1981,0.0000
41,0.2006,0.0000
42,0.2016,0.0000
43,0.2036,0.0000
44,0.2069,0.0000
45,0.2143,0.0000
46,0.2223,0.0000
47,0.2304,0.0000
48,0.2402,0.0000
49,0.2576,0.0000
50,0.2849,0.0000
