Round,Avg Accuracy,Std Accuracy
0,0.0969,0.0000
1,0.7140,0.0000
2,0.8513,0.0000
3,0.8480,0.0000
4,0.8489,0.0000
5,0.8383,0.0000
6,0.8785,0.0000
7,0.8830,0.0000
8,0.8805,0.0000
9,0.8607,0.0000
10,0.8823,0.0000
11,0.8842,0.0000
12,0.8846,0.0000
13,0.8815,0.0000
14,0.8847,0.0000
15,0.8820,0.0000
16,0.8842,0.0000
17,0.8573,0.0000
18,0.8832,0.0000
19,0.8827,0.0000
20,0.8841,0.0000
21,0.8703,0.0000
22,0.8855,0.0000
23,0.8837,0.0000
24,0.8854,0.0000
25,0.8860,0.0000
26,0.8813,0.0000
27,0.8831,0.0000
28,0.8834,0.0000
29,0.8866,0.0000
30,0.8831,0.0000
31,0.8786,0.0000
32,0.8364,0.0000
33,0.8768,0.0000
34,0.8786,0.0000
35,0.8849,0.0000
36,0.8855,0.0000
37,0.7353,0.0000
38,0.8834,0.0000
39,0.8853,0.0000
40,0.8845,0.0000
41,0.8851,0.0000
42,0.8036,0.0000
43,0.8834,0.0000
44,0.8833,0.0000
45,0.8562,0.0000
46,0.8831,0.0000
47,0.8702,0.0000
48,0.8817,0.0000
49,0.8831,0.0000
50,0.8818,0.0000
