Round,Avg Accuracy,Std Accuracy
0,0.0976,0.0000
1,0.7161,0.0000
2,0.8027,0.0000
3,0.7187,0.0000
4,0.7718,0.0000
5,0.8709,0.0000
6,0.8728,0.0000
7,0.8704,0.0000
8,0.8805,0.0000
9,0.8626,0.0000
10,0.8756,0.0000
11,0.8808,0.0000
12,0.8821,0.0000
13,0.8185,0.0000
14,0.8794,0.0000
15,0.8844,0.0000
16,0.8826,0.0000
17,0.8812,0.0000
18,0.8842,0.0000
19,0.8838,0.0000
20,0.8794,0.0000
21,0.8848,0.0000
22,0.8844,0.0000
23,0.8764,0.0000
24,0.8825,0.0000
25,0.8846,0.0000
26,0.8846,0.0000
27,0.8836,0.0000
28,0.8851,0.0000
29,0.8853,0.0000
30,0.8803,0.0000
31,0.8274,0.0000
32,0.8865,0.0000
33,0.8862,0.0000
34,0.8859,0.0000
35,0.7599,0.0000
36,0.8821,0.0000
37,0.8829,0.0000
38,0.8856,0.0000
39,0.8854,0.0000
40,0.8859,0.0000
41,0.8705,0.0000
42,0.8860,0.0000
43,0.8854,0.0000
44,0.8871,0.0000
45,0.8861,0.0000
46,0.8833,0.0000
47,0.8845,0.0000
48,0.8823,0.0000
49,0.8795,0.0000
50,0.8859,0.0000
