Round,Avg Accuracy,Std Accuracy
0,0.0722,0.0077
1,0.2666,0.0538
2,0.6961,0.1001
3,0.8044,0.0261
4,0.7999,0.0209
5,0.8455,0.0211
6,0.8246,0.0551
7,0.8555,0.0139
8,0.8695,0.0072
9,0.8573,0.0027
10,0.8659,0.0062
11,0.8620,0.0177
12,0.8647,0.0077
13,0.8732,0.0021
14,0.8772,0.0039
15,0.8757,0.0083
16,0.8821,0.0083
17,0.8813,0.0081
18,0.8781,0.0073
19,0.8786,0.0110
20,0.8836,0.0067
21,0.8819,0.0068
22,0.8828,0.0052
23,0.8838,0.0061
24,0.8699,0.0099
25,0.8735,0.0170
26,0.8767,0.0067
27,0.8796,0.0046
28,0.8785,0.0125
29,0.8839,0.0059
30,0.8829,0.0058
31,0.8628,0.0312
32,0.8388,0.0688
33,0.8697,0.0106
34,0.8815,0.0086
35,0.8821,0.0047
36,0.8787,0.0059
37,0.8769,0.0063
38,0.8847,0.0038
39,0.8804,0.0030
40,0.8848,0.0048
41,0.8843,0.0051
42,0.8842,0.0047
43,0.8593,0.0232
44,0.8838,0.0047
45,0.8829,0.0043
46,0.8829,0.0052
47,0.8602,0.0321
48,0.8834,0.0048
49,0.8825,0.0032
50,0.8763,0.0165
