Round,Avg Accuracy,Std Accuracy
0,0.0999,0.0000
1,0.1031,0.0000
2,0.1448,0.0000
3,0.2864,0.0000
4,0.3625,0.0000
5,0.4028,0.0000
6,0.4249,0.0000
7,0.4502,0.0000
8,0.4698,0.0000
9,0.4844,0.0000
10,0.5026,0.0000
11,0.5193,0.0000
12,0.5283,0.0000
13,0.5391,0.0000
14,0.5400,0.0000
15,0.5501,0.0000
16,0.5573,0.0000
17,0.5581,0.0000
18,0.5598,0.0000
19,0.5692,0.0000
20,0.5637,0.0000
21,0.5629,0.0000
22,0.5704,0.0000
23,0.5741,0.0000
24,0.5745,0.0000
25,0.5807,0.0000
26,0.5792,0.0000
27,0.5709,0.0000
28,0.5834,0.0000
29,0.5894,0.0000
30,0.5896,0.0000
31,0.5923,0.0000
32,0.5952,0.0000
33,0.6005,0.0000
34,0.5890,0.0000
35,0.5950,0.0000
36,0.6007,0.0000
37,0.5991,0.0000
38,0.6015,0.0000
39,0.6012,0.0000
40,0.6025,0.0000
41,0.6039,0.0000
42,0.6043,0.0000
43,0.5961,0.0000
44,0.6025,0.0000
45,0.6050,0.0000
46,0.6051,0.0000
47,0.6073,0.0000
48,0.6083,0.0000
49,0.6103,0.0000
50,0.6146,0.0000
