Round,Avg Accuracy,Std Accuracy
0,0.0999,0.0000
1,0.1471,0.0000
2,0.2239,0.0000
3,0.3292,0.0000
4,0.3767,0.0000
5,0.3895,0.0000
6,0.3642,0.0000
7,0.3381,0.0000
8,0.3523,0.0000
9,0.3977,0.0000
10,0.4128,0.0000
11,0.4083,0.0000
12,0.4263,0.0000
13,0.4602,0.0000
14,0.4800,0.0000
15,0.4784,0.0000
16,0.4498,0.0000
17,0.4498,0.0000
18,0.4479,0.0000
19,0.4500,0.0000
20,0.4587,0.0000
21,0.4697,0.0000
22,0.4827,0.0000
23,0.4944,0.0000
24,0.4857,0.0000
25,0.4847,0.0000
26,0.4924,0.0000
27,0.4935,0.0000
28,0.4936,0.0000
29,0.5038,0.0000
30,0.5227,0.0000
31,0.5217,0.0000
32,0.5092,0.0000
33,0.5047,0.0000
34,0.5117,0.0000
35,0.5195,0.0000
36,0.5289,0.0000
37,0.5190,0.0000
38,0.5119,0.0000
39,0.5201,0.0000
40,0.5323,0.0000
41,0.5417,0.0000
42,0.5274,0.0000
43,0.5308,0.0000
44,0.5375,0.0000
45,0.5570,0.0000
46,0.5614,0.0000
47,0.5624,0.0000
48,0.5643,0.0000
49,0.5636,0.0000
50,0.5398,0.0000
