Round,Avg Accuracy,Std Accuracy
0,0.0997,0.0008
1,0.1707,0.0141
2,0.3305,0.0176
3,0.3962,0.0284
4,0.4422,0.0227
5,0.4800,0.0123
6,0.5097,0.0035
7,0.5157,0.0100
8,0.5375,0.0023
9,0.5476,0.0064
10,0.5557,0.0089
11,0.5530,0.0069
12,0.5673,0.0053
13,0.5763,0.0009
14,0.5669,0.0156
15,0.5831,0.0075
16,0.5860,0.0058
17,0.5927,0.0084
18,0.5908,0.0091
19,0.5842,0.0088
20,0.6002,0.0072
21,0.6054,0.0125
22,0.6091,0.0134
23,0.6121,0.0109
24,0.6112,0.0139
25,0.6073,0.0220
26,0.6128,0.0151
27,0.6230,0.0134
28,0.6239,0.0122
29,0.6260,0.0188
30,0.5773,0.0649
31,0.6326,0.0136
32,0.6155,0.0236
33,0.6249,0.0201
34,0.6296,0.0129
35,0.6295,0.0192
36,0.6401,0.0150
37,0.6344,0.0127
38,0.6396,0.0175
39,0.6148,0.0403
40,0.6375,0.0247
41,0.6401,0.0145
42,0.6390,0.0226
43,0.6437,0.0142
44,0.6417,0.0106
45,0.6371,0.0220
46,0.6474,0.0124
47,0.6147,0.0513
48,0.6511,0.0166
49,0.6466,0.0029
50,0.6561,0.0152
