Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.1155,0.0000
2,0.3376,0.0000
3,0.4440,0.0000
4,0.5034,0.0000
5,0.5178,0.0000
6,0.5180,0.0000
7,0.5574,0.0000
8,0.5483,0.0000
9,0.5628,0.0000
10,0.5755,0.0000
11,0.5761,0.0000
12,0.5737,0.0000
13,0.5850,0.0000
14,0.5814,0.0000
15,0.5809,0.0000
16,0.5880,0.0000
17,0.5922,0.0000
18,0.5960,0.0000
19,0.5854,0.0000
20,0.6010,0.0000
21,0.6021,0.0000
22,0.6021,0.0000
23,0.6063,0.0000
24,0.5902,0.0000
25,0.5952,0.0000
26,0.6124,0.0000
27,0.5929,0.0000
28,0.6030,0.0000
29,0.6178,0.0000
30,0.6081,0.0000
31,0.5940,0.0000
32,0.6151,0.0000
33,0.6154,0.0000
34,0.6131,0.0000
35,0.6023,0.0000
36,0.6138,0.0000
37,0.6263,0.0000
38,0.6193,0.0000
39,0.6166,0.0000
40,0.6217,0.0000
41,0.6125,0.0000
42,0.6140,0.0000
43,0.6276,0.0000
44,0.6276,0.0000
45,0.6140,0.0000
46,0.6035,0.0000
47,0.6272,0.0000
48,0.5894,0.0000
49,0.6303,0.0000
50,0.6161,0.0000
