Round,Avg Accuracy,Std Accuracy
0,0.0930,0.0000
1,0.1108,0.0000
2,0.3494,0.0000
3,0.4525,0.0000
4,0.4721,0.0000
5,0.5253,0.0000
6,0.5567,0.0000
7,0.5639,0.0000
8,0.5392,0.0000
9,0.5828,0.0000
10,0.5843,0.0000
11,0.5927,0.0000
12,0.5789,0.0000
13,0.5703,0.0000
14,0.5968,0.0000
15,0.5913,0.0000
16,0.5971,0.0000
17,0.5926,0.0000
18,0.6037,0.0000
19,0.6031,0.0000
20,0.5950,0.0000
21,0.6070,0.0000
22,0.6112,0.0000
23,0.6064,0.0000
24,0.5866,0.0000
25,0.6129,0.0000
26,0.6086,0.0000
27,0.6053,0.0000
28,0.6140,0.0000
29,0.6119,0.0000
30,0.6127,0.0000
31,0.6102,0.0000
32,0.6147,0.0000
33,0.6173,0.0000
34,0.6080,0.0000
35,0.6087,0.0000
36,0.6085,0.0000
37,0.6198,0.0000
38,0.6002,0.0000
39,0.6250,0.0000
40,0.6117,0.0000
41,0.6210,0.0000
42,0.6157,0.0000
43,0.6171,0.0000
44,0.6088,0.0000
45,0.5880,0.0000
46,0.6056,0.0000
47,0.6060,0.0000
48,0.6177,0.0000
49,0.6207,0.0000
50,0.6043,0.0000
