Round,Avg Accuracy,Std Accuracy
0,0.0998,0.0002
1,0.1857,0.0222
2,0.3367,0.0060
3,0.3815,0.0105
4,0.3951,0.0056
5,0.3926,0.0047
6,0.3930,0.0004
7,0.3866,0.0017
8,0.3826,0.0014
9,0.3812,0.0047
10,0.3780,0.0029
11,0.3757,0.0028
12,0.3756,0.0026
13,0.3750,0.0020
14,0.3719,0.0019
15,0.3738,0.0028
16,0.3715,0.0034
17,0.3725,0.0015
18,0.3715,0.0045
19,0.3735,0.0031
20,0.3712,0.0039
21,0.3703,0.0053
22,0.3718,0.0023
23,0.3711,0.0042
24,0.3709,0.0045
25,0.3699,0.0040
26,0.3703,0.0022
27,0.3700,0.0028
28,0.3692,0.0038
29,0.3709,0.0038
30,0.3705,0.0026
31,0.3700,0.0031
32,0.3684,0.0032
33,0.3684,0.0030
34,0.3680,0.0030
35,0.3667,0.0051
36,0.3684,0.0029
37,0.3682,0.0034
38,0.3671,0.0040
39,0.3666,0.0042
40,0.3671,0.0025
41,0.3672,0.0043
42,0.3674,0.0031
43,0.3664,0.0025
44,0.3659,0.0026
45,0.3654,0.0035
46,0.3665,0.0039
47,0.3660,0.0031
48,0.3661,0.0023
49,0.3654,0.0029
50,0.3641,0.0018
