Round,Avg Accuracy,Std Accuracy
0,0.1300,0.0000
1,0.1754,0.0000
2,0.3523,0.0000
3,0.3646,0.0000
4,0.3671,0.0000
5,0.3642,0.0000
6,0.3689,0.0000
7,0.3668,0.0000
8,0.3669,0.0000
9,0.3682,0.0000
10,0.3672,0.0000
11,0.3636,0.0000
12,0.3695,0.0000
13,0.3697,0.0000
14,0.3711,0.0000
15,0.3695,0.0000
16,0.3686,0.0000
17,0.3705,0.0000
18,0.3701,0.0000
19,0.3682,0.0000
20,0.3690,0.0000
21,0.3684,0.0000
22,0.3688,0.0000
23,0.3689,0.0000
24,0.3692,0.0000
25,0.3699,0.0000
26,0.3707,0.0000
27,0.3685,0.0000
28,0.3694,0.0000
29,0.3688,0.0000
30,0.3685,0.0000
31,0.3671,0.0000
32,0.3671,0.0000
33,0.3678,0.0000
34,0.3673,0.0000
35,0.3660,0.0000
36,0.3657,0.0000
37,0.3670,0.0000
38,0.3665,0.0000
39,0.3668,0.0000
40,0.3644,0.0000
41,0.3654,0.0000
42,0.3663,0.0000
43,0.3659,0.0000
44,0.3662,0.0000
45,0.3663,0.0000
46,0.3654,0.0000
47,0.3662,0.0000
48,0.3641,0.0000
49,0.3647,0.0000
50,0.3648,0.0000
