Round,Avg Accuracy,Std Accuracy
0,0.0979,0.0031
1,0.2156,0.0135
2,0.3443,0.0030
3,0.3834,0.0008
4,0.3928,0.0041
5,0.3911,0.0043
6,0.3896,0.0034
7,0.3855,0.0034
8,0.3808,0.0022
9,0.3773,0.0039
10,0.3758,0.0035
11,0.3747,0.0016
12,0.3720,0.0034
13,0.3699,0.0034
14,0.3717,0.0047
15,0.3708,0.0023
16,0.3705,0.0024
17,0.3702,0.0032
18,0.3690,0.0045
19,0.3688,0.0041
20,0.3686,0.0043
21,0.3674,0.0041
22,0.3672,0.0030
23,0.3686,0.0027
24,0.3678,0.0020
25,0.3676,0.0045
26,0.3675,0.0036
27,0.3671,0.0037
28,0.3672,0.0029
29,0.3667,0.0036
30,0.3661,0.0047
31,0.3655,0.0042
32,0.3658,0.0030
33,0.3666,0.0030
34,0.3662,0.0022
35,0.3653,0.0027
36,0.3648,0.0026
37,0.3638,0.0025
38,0.3650,0.0025
39,0.3643,0.0028
40,0.3655,0.0018
41,0.3646,0.0021
42,0.3643,0.0030
43,0.3641,0.0028
44,0.3657,0.0021
45,0.3643,0.0018
46,0.3632,0.0034
47,0.3632,0.0029
48,0.3629,0.0033
49,0.3628,0.0028
50,0.3624,0.0030
