Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.1053,0.0023
2,0.1603,0.0445
3,0.1863,0.0642
4,0.2224,0.0634
5,0.2553,0.0489
6,0.2757,0.0379
7,0.2895,0.0336
8,0.2982,0.0332
9,0.3039,0.0311
10,0.3075,0.0276
11,0.3089,0.0256
12,0.3110,0.0233
13,0.3144,0.0191
14,0.3182,0.0137
15,0.3233,0.0096
16,0.3284,0.0068
17,0.3343,0.0054
18,0.3399,0.0049
19,0.3440,0.0042
20,0.3479,0.0049
21,0.3513,0.0038
22,0.3540,0.0031
23,0.3560,0.0022
24,0.3568,0.0019
25,0.3576,0.0021
26,0.3580,0.0026
27,0.3584,0.0025
28,0.3586,0.0024
29,0.3583,0.0020
30,0.3586,0.0022
31,0.3585,0.0018
32,0.3589,0.0022
33,0.3585,0.0020
34,0.3586,0.0020
35,0.3582,0.0017
36,0.3581,0.0021
37,0.3580,0.0018
38,0.3576,0.0018
39,0.3578,0.0022
40,0.3579,0.0024
41,0.3581,0.0026
42,0.3587,0.0028
43,0.3583,0.0032
44,0.3580,0.0035
45,0.3571,0.0039
46,0.3571,0.0040
47,0.3570,0.0038
48,0.3571,0.0034
49,0.3565,0.0033
50,0.3565,0.0027
