Round,Avg Accuracy,Std Accuracy
0,0.1003,0.0000
1,0.2423,0.0000
2,0.3375,0.0000
3,0.3407,0.0000
4,0.3507,0.0000
5,0.3476,0.0000
6,0.3398,0.0000
7,0.3367,0.0000
8,0.3276,0.0000
9,0.3266,0.0000
10,0.3176,0.0000
11,0.3086,0.0000
12,0.2977,0.0000
13,0.2975,0.0000
14,0.2987,0.0000
15,0.2909,0.0000
16,0.2893,0.0000
17,0.2853,0.0000
18,0.2794,0.0000
19,0.2796,0.0000
20,0.2715,0.0000
21,0.2735,0.0000
22,0.2690,0.0000
23,0.2691,0.0000
24,0.2727,0.0000
25,0.2639,0.0000
26,0.2616,0.0000
27,0.2660,0.0000
28,0.2680,0.0000
29,0.2702,0.0000
30,0.2664,0.0000
31,0.2652,0.0000
32,0.2703,0.0000
33,0.2687,0.0000
34,0.2655,0.0000
35,0.2647,0.0000
36,0.2599,0.0000
37,0.2610,0.0000
38,0.2565,0.0000
39,0.2535,0.0000
40,0.2563,0.0000
41,0.2540,0.0000
42,0.2510,0.0000
43,0.2519,0.0000
44,0.2469,0.0000
45,0.2475,0.0000
46,0.2424,0.0000
47,0.2374,0.0000
48,0.2323,0.0000
49,0.2339,0.0000
50,0.2338,0.0000
