Round,Avg Accuracy,Std Accuracy
0,0.0864,0.0560
1,0.4822,0.0000
2,0.4861,0.0010
3,0.4822,0.0000
4,0.4700,0.0112
5,0.4892,0.0030
6,0.5173,0.0333
7,0.5169,0.0061
8,0.5391,0.0054
9,0.5286,0.0140
10,0.5473,0.0075
11,0.5320,0.0017
12,0.5631,0.0041
13,0.5502,0.0023
14,0.5758,0.0040
15,0.5574,0.0020
16,0.5741,0.0085
17,0.5712,0.0008
18,0.5753,0.0042
19,0.5725,0.0061
20,0.5731,0.0012
21,0.5658,0.0035
22,0.5668,0.0089
23,0.5708,0.0002
24,0.5657,0.0053
25,0.5702,0.0003
26,0.5629,0.0083
27,0.5654,0.0056
28,0.5692,0.0051
29,0.5627,0.0034
30,0.5671,0.0030
31,0.5525,0.0174
32,0.5602,0.0054
33,0.5635,0.0024
34,0.5600,0.0046
35,0.5619,0.0021
36,0.5642,0.0013
37,0.5603,0.0071
38,0.5644,0.0032
39,0.5627,0.0002
40,0.5605,0.0035
41,0.5611,0.0010
42,0.5581,0.0022
43,0.5601,0.0016
44,0.5633,0.0055
45,0.5613,0.0019
46,0.5624,0.0059
47,0.5633,0.0042
48,0.5624,0.0011
49,0.5654,0.0034
50,0.5624,0.0055
