Round,Avg Accuracy,Std Accuracy
0,0.1834,0.0000
1,0.4882,0.0000
2,0.4591,0.0000
3,0.5415,0.0000
4,0.4542,0.0000
5,0.5318,0.0000
6,0.2292,0.0000
7,0.5389,0.0000
8,0.2568,0.0000
9,0.5245,0.0000
10,0.3955,0.0000
11,0.5299,0.0000
12,0.2652,0.0000
13,0.5097,0.0000
14,0.3400,0.0000
15,0.5318,0.0000
16,0.3161,0.0000
17,0.5353,0.0000
18,0.2755,0.0000
19,0.5181,0.0000
20,0.3277,0.0000
21,0.5215,0.0000
22,0.2996,0.0000
23,0.5219,0.0000
24,0.2830,0.0000
25,0.5148,0.0000
26,0.2774,0.0000
27,0.5144,0.0000
28,0.2613,0.0000
29,0.5163,0.0000
30,0.3226,0.0000
31,0.5200,0.0000
32,0.3344,0.0000
33,0.5131,0.0000
34,0.2983,0.0000
35,0.5247,0.0000
36,0.3301,0.0000
37,0.5247,0.0000
38,0.3353,0.0000
39,0.5176,0.0000
40,0.3566,0.0000
41,0.5191,0.0000
42,0.3333,0.0000
43,0.5228,0.0000
44,0.3475,0.0000
45,0.5288,0.0000
46,0.3473,0.0000
47,0.5288,0.0000
48,0.3404,0.0000
49,0.5325,0.0000
50,0.3346,0.0000
