Round,Avg Accuracy,Std Accuracy
0,0.1009,0.0000
1,0.2784,0.0000
2,0.5957,0.0000
3,0.6640,0.0000
4,0.6890,0.0000
5,0.7074,0.0000
6,0.7356,0.0000
7,0.7593,0.0000
8,0.7762,0.0000
9,0.7939,0.0000
10,0.8040,0.0000
11,0.8143,0.0000
12,0.8224,0.0000
13,0.8289,0.0000
14,0.8337,0.0000
15,0.8378,0.0000
16,0.8402,0.0000
17,0.8433,0.0000
18,0.8447,0.0000
19,0.8470,0.0000
20,0.8476,0.0000
21,0.8496,0.0000
22,0.8518,0.0000
23,0.8533,0.0000
24,0.8543,0.0000
25,0.8567,0.0000
26,0.8563,0.0000
27,0.8570,0.0000
28,0.8581,0.0000
29,0.8580,0.0000
30,0.8586,0.0000
31,0.8590,0.0000
32,0.8608,0.0000
33,0.8603,0.0000
34,0.8604,0.0000
35,0.8622,0.0000
36,0.8614,0.0000
37,0.8633,0.0000
38,0.8627,0.0000
39,0.8645,0.0000
40,0.8628,0.0000
41,0.8636,0.0000
42,0.8650,0.0000
43,0.8641,0.0000
44,0.8663,0.0000
45,0.8657,0.0000
46,0.8652,0.0000
47,0.8663,0.0000
48,0.8664,0.0000
49,0.8665,0.0000
50,0.8655,0.0000
