Round,Avg Accuracy,Std Accuracy
0,0.1000,0.0000
1,0.2748,0.0000
2,0.5610,0.0000
3,0.7341,0.0000
4,0.6335,0.0000
5,0.7968,0.0000
6,0.7855,0.0000
7,0.7796,0.0000
8,0.7678,0.0000
9,0.7980,0.0000
10,0.8155,0.0000
11,0.8145,0.0000
12,0.8103,0.0000
13,0.8168,0.0000
14,0.8144,0.0000
15,0.8190,0.0000
16,0.8330,0.0000
17,0.8394,0.0000
18,0.8391,0.0000
19,0.8388,0.0000
20,0.8362,0.0000
21,0.8394,0.0000
22,0.8417,0.0000
23,0.8451,0.0000
24,0.8450,0.0000
25,0.8433,0.0000
26,0.8517,0.0000
27,0.8535,0.0000
28,0.8519,0.0000
29,0.8481,0.0000
30,0.8462,0.0000
31,0.8472,0.0000
32,0.8517,0.0000
33,0.8518,0.0000
34,0.8510,0.0000
35,0.8539,0.0000
36,0.8573,0.0000
37,0.8572,0.0000
38,0.8549,0.0000
39,0.8528,0.0000
40,0.8545,0.0000
41,0.8570,0.0000
42,0.8541,0.0000
43,0.8523,0.0000
44,0.8519,0.0000
45,0.8555,0.0000
46,0.8569,0.0000
47,0.8583,0.0000
48,0.8580,0.0000
49,0.8573,0.0000
50,0.8551,0.0000
