Round,Avg Accuracy,Std Accuracy
0,0.1004,0.0000
1,0.5001,0.0000
2,0.6563,0.0000
3,0.7633,0.0000
4,0.7980,0.0000
5,0.8346,0.0000
6,0.8378,0.0000
7,0.8525,0.0000
8,0.8565,0.0000
9,0.8535,0.0000
10,0.8598,0.0000
11,0.8624,0.0000
12,0.8620,0.0000
13,0.8642,0.0000
14,0.8638,0.0000
15,0.8694,0.0000
16,0.8687,0.0000
17,0.8684,0.0000
18,0.8686,0.0000
19,0.8682,0.0000
20,0.8696,0.0000
21,0.8648,0.0000
22,0.8691,0.0000
23,0.8688,0.0000
24,0.8704,0.0000
25,0.8685,0.0000
26,0.8707,0.0000
27,0.8683,0.0000
28,0.8682,0.0000
29,0.8721,0.0000
30,0.8702,0.0000
31,0.8703,0.0000
32,0.8716,0.0000
33,0.8715,0.0000
34,0.8694,0.0000
35,0.8717,0.0000
36,0.8727,0.0000
37,0.8714,0.0000
38,0.8733,0.0000
39,0.8737,0.0000
40,0.8722,0.0000
41,0.8712,0.0000
42,0.8733,0.0000
43,0.8724,0.0000
44,0.8713,0.0000
45,0.8742,0.0000
46,0.8727,0.0000
47,0.8719,0.0000
48,0.8739,0.0000
49,0.8750,0.0000
50,0.8725,0.0000
