Round,Avg Accuracy,Std Accuracy
0,0.0990,0.0015
1,0.4363,0.0260
2,0.6359,0.0192
3,0.7586,0.0097
4,0.8002,0.0049
5,0.8260,0.0064
6,0.8423,0.0035
7,0.8482,0.0037
8,0.8581,0.0014
9,0.8603,0.0016
10,0.8634,0.0013
11,0.8649,0.0013
12,0.8641,0.0036
13,0.8668,0.0021
14,0.8672,0.0058
15,0.8653,0.0023
16,0.8667,0.0019
17,0.8675,0.0035
18,0.8678,0.0062
19,0.8674,0.0047
20,0.8686,0.0045
21,0.8676,0.0027
22,0.8678,0.0041
23,0.8676,0.0029
24,0.8663,0.0039
25,0.8679,0.0035
26,0.8691,0.0050
27,0.8677,0.0030
28,0.8705,0.0040
29,0.8697,0.0025
30,0.8702,0.0036
31,0.8710,0.0025
32,0.8713,0.0051
33,0.8728,0.0041
34,0.8716,0.0031
35,0.8701,0.0036
36,0.8713,0.0043
37,0.8713,0.0043
38,0.8709,0.0047
39,0.8688,0.0037
40,0.8702,0.0032
41,0.8719,0.0037
42,0.8708,0.0049
43,0.8704,0.0054
44,0.8710,0.0037
45,0.8713,0.0031
46,0.8706,0.0036
47,0.8716,0.0028
48,0.8723,0.0030
49,0.8721,0.0052
50,0.8712,0.0032
