Round,Avg Accuracy,Std Accuracy
0,0.1033,0.0028
1,0.4440,0.0400
2,0.4748,0.0095
3,0.4913,0.0141
4,0.4993,0.0065
5,0.5072,0.0098
6,0.5125,0.0084
7,0.5098,0.0018
8,0.5070,0.0033
9,0.5117,0.0039
10,0.5178,0.0013
11,0.5131,0.0067
12,0.5131,0.0042
13,0.5138,0.0071
14,0.5112,0.0062
15,0.5157,0.0047
16,0.5192,0.0045
17,0.5164,0.0038
18,0.5175,0.0047
19,0.5121,0.0053
20,0.5177,0.0058
21,0.5155,0.0087
22,0.5166,0.0059
23,0.5096,0.0110
24,0.5095,0.0141
25,0.5025,0.0057
26,0.4957,0.0123
27,0.4997,0.0172
28,0.5002,0.0060
29,0.5017,0.0104
30,0.5048,0.0064
31,0.5102,0.0088
32,0.4955,0.0088
33,0.5034,0.0098
34,0.5090,0.0066
35,0.5133,0.0089
36,0.5066,0.0093
37,0.5082,0.0053
38,0.5112,0.0073
39,0.5135,0.0055
40,0.5117,0.0054
41,0.5071,0.0077
42,0.5013,0.0023
43,0.5037,0.0055
44,0.4895,0.0157
45,0.4931,0.0186
46,0.4796,0.0287
47,0.4694,0.0322
48,0.4678,0.0331
49,0.4805,0.0204
50,0.4880,0.0136
