Round,Avg Accuracy,Std Accuracy
0,0.1198,0.0523
1,0.7668,0.0054
2,0.9416,0.0105
3,0.9711,0.0006
4,0.9766,0.0004
5,0.9810,0.0007
6,0.9827,0.0011
7,0.9839,0.0009
8,0.9846,0.0010
9,0.9856,0.0007
10,0.9859,0.0005
11,0.9861,0.0008
12,0.9868,0.0014
13,0.9870,0.0008
14,0.9875,0.0009
15,0.9872,0.0013
16,0.9870,0.0012
17,0.9869,0.0013
18,0.9875,0.0011
19,0.9877,0.0014
20,0.9879,0.0011
21,0.9881,0.0010
22,0.9878,0.0009
23,0.9878,0.0010
24,0.9880,0.0009
25,0.9874,0.0012
26,0.9878,0.0008
27,0.9882,0.0008
28,0.9880,0.0007
29,0.9882,0.0009
30,0.9882,0.0009
31,0.9884,0.0007
32,0.9884,0.0007
33,0.9887,0.0007
34,0.9886,0.0005
35,0.9884,0.0004
36,0.9885,0.0008
37,0.9888,0.0004
38,0.9881,0.0004
39,0.9882,0.0007
40,0.9886,0.0004
41,0.9889,0.0006
42,0.9886,0.0004
43,0.9884,0.0004
44,0.9886,0.0006
45,0.9884,0.0005
46,0.9886,0.0009
47,0.9888,0.0007
48,0.9888,0.0006
49,0.9887,0.0006
50,0.9885,0.0005
