Round,Avg Accuracy,Std Accuracy
0,0.1075,0.0066
1,0.7874,0.0024
2,0.9315,0.0126
3,0.9689,0.0034
4,0.9770,0.0009
5,0.9801,0.0005
6,0.9820,0.0008
7,0.9831,0.0007
8,0.9839,0.0004
9,0.9846,0.0010
10,0.9853,0.0009
11,0.9857,0.0008
12,0.9862,0.0006
13,0.9861,0.0009
14,0.9869,0.0004
15,0.9867,0.0010
16,0.9870,0.0005
17,0.9872,0.0007
18,0.9873,0.0003
19,0.9873,0.0009
20,0.9873,0.0006
21,0.9875,0.0006
22,0.9788,0.0130
23,0.9883,0.0006
24,0.9878,0.0008
25,0.9881,0.0005
26,0.9882,0.0005
27,0.9882,0.0005
28,0.9881,0.0006
29,0.9886,0.0004
30,0.9886,0.0004
31,0.9882,0.0008
32,0.9887,0.0007
33,0.9884,0.0005
34,0.9887,0.0008
35,0.9887,0.0003
36,0.9887,0.0004
37,0.9887,0.0003
38,0.9890,0.0003
39,0.9889,0.0003
40,0.9889,0.0002
41,0.9890,0.0004
42,0.9889,0.0004
43,0.9887,0.0002
44,0.9891,0.0003
45,0.9894,0.0002
46,0.9894,0.0001
47,0.9892,0.0000
48,0.9894,0.0000
49,0.9892,0.0005
50,0.9891,0.0002
