Round,Avg Accuracy,Std Accuracy
0,0.0977,0.0036
1,0.7831,0.0178
2,0.9480,0.0044
3,0.9680,0.0087
4,0.9791,0.0021
5,0.9813,0.0012
6,0.9831,0.0017
7,0.9838,0.0011
8,0.9851,0.0005
9,0.9860,0.0009
10,0.9856,0.0011
11,0.9864,0.0008
12,0.9868,0.0006
13,0.9867,0.0004
14,0.9871,0.0007
15,0.9876,0.0011
16,0.9872,0.0008
17,0.9877,0.0007
18,0.9879,0.0004
19,0.9879,0.0005
20,0.9883,0.0005
21,0.9879,0.0003
22,0.9882,0.0001
23,0.9887,0.0002
24,0.9885,0.0005
25,0.9887,0.0004
26,0.9888,0.0001
27,0.9885,0.0006
28,0.9886,0.0002
29,0.9883,0.0004
30,0.9888,0.0003
31,0.9890,0.0005
32,0.9892,0.0005
33,0.9890,0.0003
34,0.9896,0.0005
35,0.9888,0.0000
36,0.9893,0.0000
37,0.9891,0.0002
38,0.9891,0.0002
39,0.9893,0.0004
40,0.9893,0.0002
41,0.9895,0.0003
42,0.9898,0.0002
43,0.9897,0.0002
44,0.9896,0.0002
45,0.9892,0.0001
46,0.9900,0.0004
47,0.9898,0.0002
48,0.9900,0.0002
49,0.9898,0.0002
50,0.9897,0.0003
