Round,Avg Accuracy,Std Accuracy
0,0.1359,0.0000
1,0.7552,0.0000
2,0.8245,0.0000
3,0.8163,0.0000
4,0.8119,0.0000
5,0.7987,0.0000
6,0.7844,0.0000
7,0.7827,0.0000
8,0.7633,0.0000
9,0.7690,0.0000
10,0.7602,0.0000
11,0.7577,0.0000
12,0.7414,0.0000
13,0.7391,0.0000
14,0.7325,0.0000
15,0.7295,0.0000
16,0.7261,0.0000
17,0.7185,0.0000
18,0.7209,0.0000
19,0.7092,0.0000
20,0.7093,0.0000
21,0.7129,0.0000
22,0.7192,0.0000
23,0.7108,0.0000
24,0.7187,0.0000
25,0.7118,0.0000
26,0.7290,0.0000
27,0.7189,0.0000
28,0.7106,0.0000
29,0.6984,0.0000
30,0.7000,0.0000
31,0.6838,0.0000
32,0.6718,0.0000
33,0.6654,0.0000
34,0.6675,0.0000
35,0.6563,0.0000
36,0.6530,0.0000
37,0.6605,0.0000
38,0.6568,0.0000
39,0.6537,0.0000
40,0.6551,0.0000
41,0.6585,0.0000
42,0.6600,0.0000
43,0.6521,0.0000
44,0.6512,0.0000
45,0.6589,0.0000
46,0.6563,0.0000
47,0.6560,0.0000
48,0.6572,0.0000
49,0.6574,0.0000
50,0.6471,0.0000
