Round,Avg Accuracy,Std Accuracy
0,0.0625,0.0017
1,0.0968,0.0264
2,0.2237,0.0496
3,0.2814,0.0529
4,0.4107,0.0817
5,0.5161,0.0763
6,0.5947,0.0584
7,0.6516,0.0479
8,0.6925,0.0391
9,0.7276,0.0285
10,0.7522,0.0217
11,0.7690,0.0191
12,0.7830,0.0162
13,0.7952,0.0137
14,0.8025,0.0119
15,0.8083,0.0106
16,0.8125,0.0079
17,0.8160,0.0064
18,0.8191,0.0045
19,0.8219,0.0034
20,0.8249,0.0024
21,0.8282,0.0023
22,0.8304,0.0020
23,0.8329,0.0025
24,0.8352,0.0036
25,0.8370,0.0051
26,0.8383,0.0052
27,0.8406,0.0051
28,0.8416,0.0050
29,0.8429,0.0047
30,0.8438,0.0041
31,0.8443,0.0028
32,0.8451,0.0024
33,0.8457,0.0020
34,0.8468,0.0012
35,0.8477,0.0015
36,0.8485,0.0016
37,0.8495,0.0018
38,0.8511,0.0015
39,0.8518,0.0014
40,0.8524,0.0011
41,0.8530,0.0014
42,0.8533,0.0021
43,0.8536,0.0016
44,0.8539,0.0013
45,0.8533,0.0014
46,0.8526,0.0015
47,0.8526,0.0015
48,0.8528,0.0017
49,0.8530,0.0021
50,0.8534,0.0021
