Round,Avg Accuracy,Std Accuracy
0,0.7649,0.0000
1,0.7649,0.0000
2,0.7649,0.0000
3,0.7808,0.0225
4,0.4084,0.2521
5,0.5883,0.2498
6,0.5883,0.2498
7,0.7649,0.0000
8,0.7649,0.0000
9,0.7649,0.0000
10,0.5857,0.2564
11,0.7787,0.0195
12,0.7828,0.0253
13,0.7825,0.0248
14,0.7838,0.0267
15,0.7845,0.0249
16,0.7747,0.0071
17,0.7021,0.0998
18,0.7688,0.0112
19,0.7692,0.0042
20,0.7777,0.0119
21,0.7838,0.0176
22,0.7927,0.0206
23,0.7897,0.0353
24,0.8284,0.0037
25,0.7977,0.0282
26,0.8145,0.0230
27,0.7938,0.0202
28,0.8232,0.0143
29,0.8197,0.0391
30,0.8109,0.0208
31,0.8061,0.0347
32,0.8361,0.0080
33,0.8111,0.0344
34,0.8441,0.0001
35,0.8248,0.0107
36,0.8419,0.0091
37,0.8328,0.0089
38,0.8435,0.0070
39,0.8411,0.0041
40,0.8368,0.0176
41,0.8472,0.0014
42,0.8454,0.0039
43,0.8486,0.0009
44,0.8450,0.0052
45,0.8434,0.0104
46,0.8511,0.0015
47,0.8433,0.0070
48,0.8503,0.0017
49,0.8473,0.0048
50,0.8470,0.0057
