Round,Avg Accuracy,Std Accuracy
0,0.7649,0.0000
1,0.7649,0.0000
2,0.7649,0.0000
3,0.7649,0.0000
4,0.7754,0.0000
5,0.7878,0.0000
6,0.8095,0.0000
7,0.7946,0.0000
8,0.8346,0.0000
9,0.7732,0.0000
10,0.6631,0.0000
11,0.7649,0.0000
12,0.4442,0.0000
13,0.7649,0.0000
14,0.7752,0.0000
15,0.7711,0.0000
16,0.8371,0.0000
17,0.7872,0.0000
18,0.8432,0.0000
19,0.7804,0.0000
20,0.7829,0.0000
21,0.7691,0.0000
22,0.6295,0.0000
23,0.7649,0.0000
24,0.8439,0.0000
25,0.7692,0.0000
26,0.8483,0.0000
27,0.7814,0.0000
28,0.8458,0.0000
29,0.7797,0.0000
30,0.7898,0.0000
31,0.7691,0.0000
32,0.7009,0.0000
33,0.7691,0.0000
34,0.7897,0.0000
35,0.7691,0.0000
36,0.8483,0.0000
37,0.7772,0.0000
38,0.8478,0.0000
39,0.7807,0.0000
40,0.8108,0.0000
41,0.7702,0.0000
42,0.7485,0.0000
43,0.7691,0.0000
44,0.7543,0.0000
45,0.7691,0.0000
46,0.8348,0.0000
47,0.7712,0.0000
48,0.8477,0.0000
49,0.7795,0.0000
50,0.8283,0.0000
