Round,Avg Accuracy,Std Accuracy
0,0.5883,0.2498
1,0.7645,0.0006
2,0.2352,0.0001
3,0.7726,0.0109
4,0.2351,0.0000
5,0.7649,0.0000
6,0.2366,0.0022
7,0.7799,0.0212
8,0.3940,0.1147
9,0.7848,0.0140
10,0.3759,0.1012
11,0.7763,0.0133
12,0.4015,0.1230
13,0.7838,0.0238
14,0.4626,0.1610
15,0.7980,0.0239
16,0.4514,0.1534
17,0.7924,0.0185
18,0.4713,0.0788
19,0.7871,0.0255
20,0.4806,0.0887
21,0.7955,0.0246
22,0.5427,0.0249
23,0.8101,0.0076
24,0.5502,0.0117
25,0.8191,0.0080
26,0.5324,0.0284
27,0.8074,0.0195
28,0.5430,0.0200
29,0.8205,0.0102
30,0.5331,0.0179
31,0.8166,0.0114
32,0.5509,0.0131
33,0.8263,0.0061
34,0.5366,0.0036
35,0.8230,0.0099
36,0.5477,0.0188
37,0.8302,0.0081
38,0.5510,0.0140
39,0.8335,0.0042
40,0.5530,0.0014
41,0.8276,0.0093
42,0.5375,0.0189
43,0.8282,0.0102
44,0.5524,0.0140
45,0.8316,0.0056
46,0.5376,0.0136
47,0.8282,0.0093
48,0.5599,0.0071
49,0.8350,0.0068
50,0.5408,0.0029
