Round,Avg Accuracy,Std Accuracy
0,0.7649,0.0000
1,0.7649,0.0000
2,0.7649,0.0000
3,0.7686,0.0000
4,0.7857,0.0000
5,0.7978,0.0000
6,0.8185,0.0000
7,0.8121,0.0000
8,0.8379,0.0000
9,0.8009,0.0000
10,0.8342,0.0000
11,0.7691,0.0000
12,0.3805,0.0000
13,0.7649,0.0000
14,0.8171,0.0000
15,0.7814,0.0000
16,0.8405,0.0000
17,0.7955,0.0000
18,0.8462,0.0000
19,0.7827,0.0000
20,0.7706,0.0000
21,0.7691,0.0000
22,0.6449,0.0000
23,0.7691,0.0000
24,0.8290,0.0000
25,0.7700,0.0000
26,0.8514,0.0000
27,0.7815,0.0000
28,0.8439,0.0000
29,0.7812,0.0000
30,0.7979,0.0000
31,0.7691,0.0000
32,0.7361,0.0000
33,0.7691,0.0000
34,0.7840,0.0000
35,0.7691,0.0000
36,0.8391,0.0000
37,0.7708,0.0000
38,0.8440,0.0000
39,0.7788,0.0000
40,0.8299,0.0000
41,0.7751,0.0000
42,0.7754,0.0000
43,0.7691,0.0000
44,0.7565,0.0000
45,0.7691,0.0000
46,0.8135,0.0000
47,0.7691,0.0000
48,0.8471,0.0000
49,0.7800,0.0000
50,0.8420,0.0000
