Round,Avg Accuracy,Std Accuracy
0,0.0960,0.0000
1,0.1498,0.0000
2,0.1000,0.0000
3,0.0896,0.0000
4,0.1089,0.0000
5,0.0755,0.0000
6,0.1000,0.0000
7,0.0999,0.0000
8,0.1000,0.0000
9,0.1204,0.0000
10,0.1536,0.0000
11,0.1049,0.0000
12,0.1000,0.0000
13,0.1000,0.0000
14,0.1000,0.0000
15,0.1014,0.0000
16,0.1073,0.0000
17,0.1333,0.0000
18,0.1380,0.0000
19,0.1066,0.0000
20,0.1207,0.0000
21,0.0995,0.0000
22,0.1631,0.0000
23,0.1408,0.0000
24,0.1000,0.0000
25,0.0989,0.0000
26,0.1001,0.0000
27,0.1263,0.0000
28,0.1122,0.0000
29,0.0997,0.0000
30,0.1165,0.0000
31,0.1016,0.0000
32,0.0992,0.0000
33,0.1000,0.0000
34,0.1041,0.0000
35,0.1215,0.0000
36,0.1209,0.0000
37,0.0629,0.0000
38,0.1004,0.0000
39,0.1000,0.0000
40,0.1419,0.0000
41,0.1065,0.0000
42,0.1158,0.0000
43,0.1477,0.0000
44,0.1322,0.0000
45,0.1070,0.0000
46,0.0993,0.0000
47,0.1116,0.0000
48,0.1002,0.0000
49,0.1412,0.0000
50,0.0887,0.0000
