Round,Avg Accuracy,Std Accuracy
0,0.1021,0.0145
1,0.0956,0.0061
2,0.1000,0.0000
3,0.0946,0.0077
4,0.1105,0.0137
5,0.1000,0.0000
6,0.1007,0.0009
7,0.1014,0.0011
8,0.1128,0.0181
9,0.1066,0.0093
10,0.1213,0.0194
11,0.1014,0.0146
12,0.1113,0.0080
13,0.1003,0.0005
14,0.1017,0.0012
15,0.1034,0.0047
16,0.1022,0.0032
17,0.1113,0.0157
18,0.1136,0.0196
19,0.1050,0.0107
20,0.1072,0.0096
21,0.1211,0.0187
22,0.1021,0.0021
23,0.1145,0.0216
24,0.0961,0.0090
25,0.1199,0.0180
26,0.1193,0.0234
27,0.1278,0.0249
28,0.1011,0.0007
29,0.1129,0.0241
30,0.1091,0.0129
31,0.0926,0.0042
32,0.1045,0.0100
33,0.1191,0.0148
34,0.1198,0.0167
35,0.1132,0.0165
36,0.1092,0.0130
37,0.1099,0.0140
38,0.1147,0.0136
39,0.1070,0.0089
40,0.1163,0.0231
41,0.0977,0.0034
42,0.1159,0.0163
43,0.1088,0.0070
44,0.1025,0.0034
45,0.1164,0.0160
46,0.1113,0.0078
47,0.1163,0.0070
48,0.1129,0.0133
49,0.1073,0.0279
50,0.1120,0.0143
