Round,Avg Accuracy,Std Accuracy
0,0.1001,0.0000
1,0.1000,0.0000
2,0.1000,0.0000
3,0.1000,0.0000
4,0.1000,0.0000
5,0.0997,0.0000
6,0.1000,0.0000
7,0.1000,0.0000
8,0.1000,0.0000
9,0.1002,0.0000
10,0.1000,0.0000
11,0.1936,0.0000
12,0.1002,0.0000
13,0.1000,0.0000
14,0.1000,0.0000
15,0.1000,0.0000
16,0.1000,0.0000
17,0.1000,0.0000
18,0.1884,0.0000
19,0.1167,0.0000
20,0.1000,0.0000
21,0.1845,0.0000
22,0.1594,0.0000
23,0.1390,0.0000
24,0.1562,0.0000
25,0.1598,0.0000
26,0.1986,0.0000
27,0.1842,0.0000
28,0.1479,0.0000
29,0.1498,0.0000
30,0.1778,0.0000
31,0.2171,0.0000
32,0.3369,0.0000
33,0.2082,0.0000
34,0.3233,0.0000
35,0.3353,0.0000
36,0.2435,0.0000
37,0.2759,0.0000
38,0.2730,0.0000
39,0.4296,0.0000
40,0.3559,0.0000
41,0.3862,0.0000
42,0.2843,0.0000
43,0.2973,0.0000
44,0.3738,0.0000
45,0.3446,0.0000
46,0.3571,0.0000
47,0.3266,0.0000
48,0.5105,0.0000
49,0.3442,0.0000
50,0.4924,0.0000
